catCode,catName,subCatCode,subCatName,url
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=201666&settype=03&categoryName=307960&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=100400&settype=03&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=116076&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=142279&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=238658&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=254123&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=88288&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=101368&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=100046&categoryName=307963&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=146566&categoryName=307961&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=1011842&categoryName=307960&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=1011159&categoryName=307960&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=1011160&categoryName=307960&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200010,Bitters and Ales,https://www.booker.co.uk/catalog/productinformation.aspx?code=1011841&categoryName=307960&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200010
