code,img_small_url,name,por,rrp,rt_qty,storage_type,sub_cat_code,vat,ws_qty,wsp_exl_vat
184055,https://www.booker.co.uk/bbimages/1/b1e501f4-60c0-4210-ab78-7245895a76fd.jpg,Fage Total Natural Fat Free Greek Recipe Strained Yoghurt 170g,26.9,1.49,170g,Chilled,CS13_200420,0,,1.09
161864,https://www.booker.co.uk/bbimages/1/15ac0b3d-9766-42f7-b502-2c7b79aa346c.jpg,Fage Total Natural Greek Recipe Strained Yoghurt 500g,30.3,3.25,500g,Chilled,CS13_200420,0,6,13.59
162393,https://www.booker.co.uk/bbimages/1/15ac0b3d-9766-42f7-b502-2c7b79aa346c.jpg,Fage Total Natural Greek Recipe Strained Yoghurt 500g,26.5,3.25,500g,Chilled,CS13_200420,0,,2.39
144671,https://www.booker.co.uk/bbimages/1/3f172702-2a8e-479e-b4cc-76e47b99a438.jpg,Golden Acre Thick & Creamy Pasteurised Fruit Yogurt Assorted Flavours 20 x 150g,38.5,0.65,150g,Ambient,CS13_200420,0,20,7.99
132879,https://www.booker.co.uk/bbimages/1/c2832082-0fed-41e6-af4f-cb264de28d5e.jpg,Henna Fat Free Natural Yogurt Live Set 10kg,,,10kg,Chilled,CS13_200420,0,,7.49
132877,https://www.booker.co.uk/bbimages/1/0d44c101-87ce-4e6c-89b2-fac738c31122.jpg,Henna Fat Free Natural Yogurt Live Set 5kg,,,5kg,Chilled,CS13_200420,0,,4.79
199487,https://www.booker.co.uk/bbimages/1/d580c19b-9753-4a35-90ed-cac2c8bd08b1.jpg,Lancashire Farm Greek Style Luxury Yogurt,,,5kg,Chilled,CS13_200420,0,,6.49
135809,https://www.booker.co.uk/bbimages/1/b3ddfb44-0944-432c-aaf3-a4c178c8ca19.jpg,Lichfields Thick & Creamy Fruit Yogurts Mixed Case 20 x 125g,,,125g,Ambient,CS13_200420,0,20,6.99
136524,https://www.booker.co.uk/bbimages/1/62078810-16f4-4d60-8cf4-50e97defe879.jpg,Onken 0 Fat Free Strawberry Yogurt 450g,32,1.59,450g,Chilled,CS13_200420,0,6,6.49
136525,https://www.booker.co.uk/bbimages/1/62078810-16f4-4d60-8cf4-50e97defe879.jpg,Onken 0 Fat Free Strawberry Yogurt 450g,31.5,1.59,450g,Chilled,CS13_200420,0,,1.09
220106,https://www.booker.co.uk/bbimages/1/ab49f39e-7775-4d78-bddc-de5648a771f2.jpg,Onken Natural Set Yogurt 1kg,33.1,2.49,1kg,Chilled,CS13_200420,0,6,9.99
220107,https://www.booker.co.uk/bbimages/1/ab49f39e-7775-4d78-bddc-de5648a771f2.jpg,Onken Natural Set Yogurt 1kg,32.1,2.49,1kg,Chilled,CS13_200420,0,,1.69
243863,https://www.booker.co.uk/bbimages/1/6068e3eb-aa0d-4535-9f86-d71bfb763c25.jpg,Activia Peach No Added Sugar 0 Fat Yogurt 4 x 120g (480g),33.1,1.99,4x120g,Chilled,CS13_200420,0,6,7.99
243864,https://www.booker.co.uk/bbimages/1/6068e3eb-aa0d-4535-9f86-d71bfb763c25.jpg,Activia Peach No Added Sugar 0 Fat Yogurt 4 x 120g (480g),25.1,1.99,4x120g,Chilled,CS13_200420,0,,1.49
243818,https://www.booker.co.uk/bbimages/1/d3c7a19e-40b5-4165-b9bd-a42871bfcda8.jpg,Activia Strawberry Yogurt 4 x 120g (480g),33.1,1.99,4x120g,Chilled,CS13_200420,0,6,7.99
243819,https://www.booker.co.uk/bbimages/1/d3c7a19e-40b5-4165-b9bd-a42871bfcda8.jpg,Activia Strawberry Yogurt 4 x 120g (480g),25.1,1.99,4x120g,Chilled,CS13_200420,0,,1.49
250535,https://www.booker.co.uk/bbimages/1/031ce3bd-63ee-4376-a87c-fa0817f4d3e7.jpg,Cadbury Dairy Milk Buttons Chocolate Dessert 85g,31.1,0.99,85g,Chilled,CS13_200420,0,6,4.09
250536,https://www.booker.co.uk/bbimages/1/031ce3bd-63ee-4376-a87c-fa0817f4d3e7.jpg,Cadbury Dairy Milk Buttons Chocolate Dessert 85g,30.3,0.99,85g,Chilled,CS13_200420,0,,0.69
250562,https://www.booker.co.uk/bbimages/1/f11890d3-00ed-4f2e-9d50-464cae69fbdf.jpg,Cadbury Dairy Milk Limited Edition Freddo Faces with Cadbury Dairy Milkdessert 85g,31.1,0.99,85g,Chilled,CS13_200420,0,6,4.09
250564,https://www.booker.co.uk/bbimages/1/f11890d3-00ed-4f2e-9d50-464cae69fbdf.jpg,Cadbury Dairy Milk Limited Edition Freddo Faces with Cadbury Dairy Milkdessert 85g,30.3,0.99,85g,Chilled,CS13_200420,0,,0.69
250568,https://www.booker.co.uk/bbimages/1/c58df0c8-ebb0-45bf-b70b-d974c9aab43c.jpg,Cadbury Dairy Milk Pots of Joy Chocolate Brownie Flavour 2 x 65g (130g),33.8,1.49,2x65g,Chilled,CS13_200420,0,8,7.89
250569,https://www.booker.co.uk/bbimages/1/c58df0c8-ebb0-45bf-b70b-d974c9aab43c.jpg,Cadbury Dairy Milk Pots of Joy Chocolate Brownie Flavour 2 x 65g (130g),33.6,1.49,2x65g,Chilled,CS13_200420,0,,0.99
250533,https://www.booker.co.uk/bbimages/1/d1f50769-0a58-4ba7-be83-84e275a62962.jpg,Cadbury Flake Chocolate Dessert 85g,31.1,0.99,85g,Chilled,CS13_200420,0,6,4.09
250534,https://www.booker.co.uk/bbimages/1/d1f50769-0a58-4ba7-be83-84e275a62962.jpg,Cadbury Flake Chocolate Dessert 85g,30.3,0.99,85g,Chilled,CS13_200420,0,,0.69
231053,https://www.booker.co.uk/bbimages/1/d5b0aea3-8f56-4cb6-ba83-39e1985aacab.jpg,Discover the Choice Extra Creamy Fruit Yogurts Mixed Cases 20 x 150g,35.8,0.49,150g,Ambient,CS13_200420,0,20,6.29
231052,https://www.booker.co.uk/bbimages/1/df301468-ad72-4a9a-a960-1df9d02db6b1.jpg,Discover the Choice Virtually Fat Free Yogurt Mixed Case 20 x 150g,35.8,0.49,150g,Ambient,CS13_200420,0,20,6.29
195103,https://www.booker.co.uk/bbimages/1/8609041f-68f5-49d9-b6e5-55c0a65f55ff.jpg,Dolce Mamma Profiteroles 2 x 90g (180g),28.1,1.39,2x80g,Chilled,CS13_200420,0,12,11.99
195104,https://www.booker.co.uk/bbimages/1/8609041f-68f5-49d9-b6e5-55c0a65f55ff.jpg,Dolce Mamma Profiteroles 2 x 90g (180g),24.5,1.39,2x80g,Chilled,CS13_200420,0,,1.05
195090,https://www.booker.co.uk/bbimages/1/6045abe4-59c0-4ffe-8e7b-718e79ae585f.jpg,Dolce Mamma Tiramisu 2 x 90g (180g),28.1,1.39,2x80g,Chilled,CS13_200420,0,12,11.99
195102,https://www.booker.co.uk/bbimages/1/6045abe4-59c0-4ffe-8e7b-718e79ae585f.jpg,Dolce Mamma Tiramisu 2 x 90g (180g),24.5,1.39,2x80g,Chilled,CS13_200420,0,,1.05
161863,https://www.booker.co.uk/bbimages/1/af3c6d03-e3c4-4843-8fd4-039d35480ab9.jpg,Fage Total Natural Fat Free Greek Recipe Strained Yoghurt 500g,26.7,3.09,500g,Chilled,CS13_200420,0,6,13.59
162392,https://www.booker.co.uk/bbimages/1/af3c6d03-e3c4-4843-8fd4-039d35480ab9.jpg,Fage Total Natural Fat Free Greek Recipe Strained Yoghurt 500g,22.7,3.09,500g,Chilled,CS13_200420,0,,2.39
156121,https://www.booker.co.uk/bbimages/1/69301d76-b18c-4e4a-ac4f-8da7f515dc4a.jpg,Golden Acre Fat Free Pasteurised Fruit Yogurt Assorted Flavours 20 x 100g,30.1,0.5,100g,Chilled,CS13_200420,0,20,6.99
172762,https://www.booker.co.uk/bbimages/1/a1e9e134-5d24-4496-b3e6-01b2a20ab119.jpg,Lancashire Farm Greek Style Natural Yogurt 1kg,,,1kg,Chilled,CS13_200420,0,6,11.99
172763,https://www.booker.co.uk/bbimages/1/a1e9e134-5d24-4496-b3e6-01b2a20ab119.jpg,Lancashire Farm Greek Style Natural Yogurt 1kg,,,1kg,Chilled,CS13_200420,0,,1.99
