additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_id,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_id,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,177728,,,,,,/bbimages/1/bf256d3f-34ca-4f88-bb13-7fd913caf295.jpg,,,Desperados Tequila Lager Beer 650ml Bottle,,,,,,,,35.6%,,,,£3.49,650ml,,,,Ambient,,,,20%,,,"Case of,12",£22.49,
,,,,,,,,,,162663,,,,,,/bbimages/1/381882c7-b382-4cbb-8997-2975fcaacfe4.jpg,,,Efes Draft 50cl,,,,,,,,30.7%,,,,£2.09,500ml,,,,Ambient,,,,20%,,,"Case of,12",£14.49,
,,,,,,,,,,69669,,,,,,/bbimages/1/88fb777d-8306-4e2a-ae78-49c21c8d966a.jpg,,,Efes Pilsener Beer 33cl,,,,,,,,28.3%,,,,£1.29,330ml,,,,Ambient,,,,20%,,,"Case of,24",£18.49,
,,,,,,,,,,234339,,,,,,/bbimages/1/5379a724-f750-4737-9ab1-439810fa9be0.jpg,,,Estrella Damm Beer 660ml,,,,,,,,33.1%,,,,£2.99,660ml,,,,Ambient,,,,20%,,,"Case of,12",£19.99,
,,,,,,,,,,259299,,,,,,/bbimages/1/c4baa340-3ab2-4072-82ed-5b43260b1343.jpg,,,Fosters,,,,,,,,20.8%,,,,£10.99,10x440m,,,,Ambient,,,,20%,,,,£7.25,
,,,,,,,,,,259757,,,,,,/bbimages/148736_1_ID%20Shot_90_90.jpg,,,Fosters Lager,,,,,,,,23.1%,,,,£4.65,4x440ml,,,,Ambient,,,,20%,,,"Case of,6",£17.89,
,,,,,,,,,,251316,,,,,,/bbimages/1/ccaedd8b-c19a-43d0-95af-23f6e8c169f4.jpg,,,Foster's Lager Beer 18 x 440ml Cans,,,,,,,,10.9%,,,,£17.49,18x440m,,,,Ambient,,,,20%,,,,£12.99,
,,,,,,,,,,233319,,,,,,/bbimages/1/4841844a-ce43-49e1-9a72-5edd1abdc11b.jpg,,,Fosters PM4/550,,,,,,,,20.0%,,,,£5.50,4X568ml,,,,Ambient,,,,20%,,,"Case of,6",£21.99,
,,,,,,,,,,252278,,,,,,/bbimages/1/c0dec3cb-6c14-44bd-97b2-9499f8b77ab6.jpg,,,Heineken 0.0 Premium Lager Beer 24 x 330ml,,,,,,,,46.3%,,,,£1.19,330ml,,,,Ambient,,,,20%,,,"Case of,24",£12.79,
,,,,,,,,,,257538,,,,,,/bbimages/1/917bd4c8-333e-4348-a083-663df0f86392.jpg,,,Heineken Lager Beer 10 x 440ml,,,,,,,,17.0%,,,,£12.99,10x440m,,,,Ambient,,,,20%,,,,£8.99,
