"case","code","img_small","por","rrp","sub_cat_code","temperature","wsp"
"6","147650","https://media.booker.co.uk/1/50d7809f-36fc-44a9-baad-2a6c05ce3a76.jpg","","","CS13_200450","Frozen"," 37.74"
"","147653","https://media.booker.co.uk/1/50d7809f-36fc-44a9-baad-2a6c05ce3a76.jpg","","","CS13_200450","Frozen"," 6.29"
"","147178","https://media.booker.co.uk/1/11a2eee5-7381-4c0d-8c0e-7190dab55b0b.jpg","","","CS13_200450","Frozen"," 17.99"
"4","105141","https://media.booker.co.uk/1/6b29f99e-40ea-47c1-a749-fa3a36271e23.jpg","","","CS13_200450","Frozen"," 35.96"
"","105142","https://media.booker.co.uk/1/6b29f99e-40ea-47c1-a749-fa3a36271e23.jpg","","","CS13_200450","Frozen"," 8.99"
"4","105134","https://media.booker.co.uk/1/f25d24ce-185c-466c-938d-5854c86cef80.jpg","","","CS13_200450","Frozen"," 37.96"
"","105135","https://media.booker.co.uk/1/f25d24ce-185c-466c-938d-5854c86cef80.jpg","","","CS13_200450","Frozen"," 9.49"
"","84626","https://media.booker.co.uk/1/510ff733-a412-4249-8ba2-622b561358f3.jpg","","","CS13_200450","Frozen"," 29.99"
"","84627","https://media.booker.co.uk/1/6eeb2e87-ae70-45b1-a9b4-744a0936a004.jpg","","","CS13_200450","Frozen"," 34.99"
"4","105128","https://media.booker.co.uk/1/879b414c-f464-4fc9-bf04-f272fb4323b7.jpg","","","CS13_200450","Frozen"," 39.96"
"","105129","https://media.booker.co.uk/1/879b414c-f464-4fc9-bf04-f272fb4323b7.jpg","","","CS13_200450","Frozen"," 9.99"
"","105104","https://media.booker.co.uk/1/bbf124b4-33c6-486a-bc48-19d00f3bbad4.jpg","","","CS13_200450","Frozen"," 2.99"
"4","105126","https://media.booker.co.uk/1/9af044b2-24c8-45ca-a62e-4a753159d1c8.jpg","","","CS13_200450","Frozen"," 51.96"
"","105127","https://media.booker.co.uk/1/9af044b2-24c8-45ca-a62e-4a753159d1c8.jpg","","","CS13_200450","Frozen"," 12.99"
"","195771","https://media.booker.co.uk/1/ce834926-25ca-4aed-a8f8-bfacdb640b1b.jpg","","","CS13_200450","Frozen"," 25.99"
"","195772","https://media.booker.co.uk/1/f561dfba-2f49-4121-af32-48c2166013aa.jpg","","","CS13_200450","Frozen"," 36.99"
"5","208528","https://media.booker.co.uk/1/55fac77b-3464-4946-a687-de9a01a8f1bc.jpg","","","CS13_200450","Frozen"," 62.45"
"","208529","https://media.booker.co.uk/1/55fac77b-3464-4946-a687-de9a01a8f1bc.jpg","","","CS13_200450","Frozen"," 12.49"
"6","148145","https://media.booker.co.uk/1/632cc0d3-4f9f-4755-911d-d5a66a396d6b.jpg","","","CS13_200450","Frozen"," 53.94"
"","148146","https://media.booker.co.uk/1/632cc0d3-4f9f-4755-911d-d5a66a396d6b.jpg","","","CS13_200450","Frozen"," 8.99"
"","247898","https://media.booker.co.uk/1/6f05454e-30de-45ff-aa1e-078ef62e9844.jpg","","","CS13_200450","Frozen"," 29.99"
"4","257203","https://media.booker.co.uk/1/3ff1f9d1-0461-4046-8774-056fe62f2af0.jpg","","","CS13_200450","Frozen"," 43.96"
